ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family
Shuri,Shuri,shur1243,Shuri,,Eurasia,,,Japonic
Tokyo,Tōkyō,toky1238,Tōkyō,,Eurasia,,,Japonic
Kyoto,Kyōto,kyot1238,Kyoto,,Eurasia,,,Japonic
Hachijo,Hachijō,hach1238,Hachijō,,Eurasia,,,Japonic
Miyako,Miyako,miya1259,Miyako,mvi,Eurasia,24.7564,125.363,Japonic
Kagoshima,Kagoshima,kyus1238,Kyūshū,,Eurasia,,,Japonic
Oki,Oki,okin1246,Oki-No-Erabu,okn,Eurasia,27.3738,128.619,Japonic
Amami,Amami,naze1238,Naze,,Eurasia,,,Japonic
Kochi,Kōchi,shik1243,Shikoku,,Eurasia,,,Japonic
Sado,Sado,sado1237,Sado,,Eurasia,,,Japonic
