ID,Name,Concepticon_ID,Concepticon_Gloss,Number
1_i,I,1209,I,1
2_thou,thou,1215,THOU,2
3_we,we,1212,WE,3
4_this,this,1214,THIS,4
5_that,that,78,THAT,5
6_who,who,1235,WHO,6
7_what,what,1236,WHAT,7
8_not,not,1240,NOT,8
9_all,all,98,ALL,9
10_many,many,1198,MANY,10
11_one,one,1493,ONE,11
12_two,two,1498,TWO,12
13_big,big,1202,BIG,13
14_small,small,1246,SMALL,14
15_long,long,1203,LONG,15
16_woman,woman,962,WOMAN,16
17_man,man,1554,MAN,17
18_person,person,683,PERSON,18
19_fish,fish,227,FISH,19
20_bird,bird,937,BIRD,20
21_dog,dog,2009,DOG,21
22_louse,louse,1392,LOUSE,22
23_tree,tree,906,TREE,23
24_barkoftree,bark (of tree),1204,BARK,24
25_leaf,leaf,628,LEAF,25
26_root,root,670,ROOT,26
27_seed,seed,714,SEED,27
28_blood,blood,946,BLOOD,28
29_meat,meat,634,MEAT,29
30_skin,skin,763,SKIN,30
31_bone,bone,1394,BONE,31
32_greasefat,grease (fat),323,FAT (ORGANIC SUBSTANCE),32
33_egg,egg,744,EGG,33
34_horn,horn,1393,HORN (ANATOMY),34
35_tail,tail,1220,TAIL,35
36_feather,feather,1201,FEATHER,36
37_hair,hair,1040,HAIR,37
38_head,head,1256,HEAD,38
39_ear,ear,1247,EAR,39
40_eye,eye,1248,EYE,40
41_nose,nose,1221,NOSE,41
42_mouth,mouth,674,MOUTH,42
43_tooth,tooth,1380,TOOTH,43
44_tongue,tongue,1205,TONGUE,44
45_claw,claw,72,CLAW,45
46_foot,foot,1301,FOOT,46
47_knee,knee,1371,KNEE,47
48_hand,hand,1277,HAND,48
49_belly,belly,1251,BELLY,49
50_neck,neck,1333,NECK,50
51_breast,breast,1402,BREAST,51
52_heart,heart,1223,HEART,52
53_liver,liver,1224,LIVER,53
54_drink,drink,1401,DRINK,54
55_eat,eat,1336,EAT,55
56_bite,bite,1403,BITE,56
57_see,see,1409,SEE,57
58_hear,hear,1408,HEAR,58
59_know,know,3626,KNOW,59
60_sleep,sleep,1585,SLEEP,60
61_die,die,1494,DIE,61
62_kill,kill,1417,KILL,62
63_swim,swim,1439,SWIM,63
64_fly,fly,1441,FLY (MOVE THROUGH AIR),64
65_walk,walk,1443,WALK,65
66_come,come,1446,COME,66
67_lie,lie,1411,LIE (REST),67
68_sit,sit,1416,SIT,68
69_stand,stand,1442,STAND,69
70_give,give,1447,GIVE,70
71_say,say,1458,SAY,71
72_sun,sun,1343,SUN,72
73_moon,moon,1313,MOON,73
74_star,star,1430,STAR,74
75_water,water,948,WATER,75
76_river,river,666,RIVER,76
77_stone,stone,857,STONE,77
78_sand,sand,671,SAND,78
79_earth,earth,1228,EARTH (SOIL),79
80_cloud,cloud,1489,CLOUD,80
81_smoke,smoke,778,SMOKE (EXHAUST),81
82_fire,fire,221,FIRE,82
83_ash,ash,646,ASH,83
84_burn,burn,2102,BURN,84
85_pathroad,path (road),667,ROAD,85
86_mountain,mountain,639,MOUNTAIN,86
87_red,red,156,RED,87
88_green,green,1425,GREEN,88
89_yellow,yellow,1424,YELLOW,89
90_white,white,1335,WHITE,90
91_black,black,163,BLACK,91
92_night,night,1233,NIGHT,92
93_hotwarm,hot (warm),2272,HOT OR WARM,93
94_cold,cold,1287,COLD,94
95_full,full,1429,FULL,95
96_new,new,1231,NEW,96
97_good,good,1035,GOOD,97
98_round,round,1395,ROUND,98
99_dry,dry,1398,DRY,99
100_name,name,1405,NAME,100
101_ye,ye,1213,YOU,101
102_he,he,1211,HE,102
103_they,they,817,THEY,103
104_how,how,1239,HOW,104
105_when,when,1238,WHEN,105
106_where,where,1237,WHERE,106
107_here,here,136,HERE,107
108_there,there,1937,THERE,108
109_other,other,197,OTHER,109
110_three,three,492,THREE,110
111_four,four,1500,FOUR,111
112_five,five,493,FIVE,112
113_few,few,1242,FEW,113
114_sky,sky,1732,SKY,114
115_day,day,1225,DAY (NOT NIGHT),115
116_fog,fog,249,FOG,116
117_wind,wind,960,WIND,117
118_flow,flow,2003,FLOW,118
119_sea,sea,1474,SEA,119
120_lake,lake,624,LAKE,120
121_rain,rain,1253,RAIN (RAINING),121
122_wet,wet,1726,WET,122
123_wash,wash,1453,WASH,123
124_snake,snake,730,SNAKE,124
125_worm,worm,1219,WORM,125
126_back,back,1291,BACK,126
127_leg,leg,1297,LEG,127
128_arm,arm,1673,ARM,128
129_wing,wing,1257,WING,129
130_lip,lip,478,LIP,130
131_fur,fur,580,FUR,131
132_navel,navel,1838,NAVEL,132
133_guts,guts,1334,GUTS,133
134_salivaspit,saliva (spit),1503,SALIVA,134
135_milk,milk,635,MILK,135
136_fruit,fruit,1507,FRUIT,136
137_flower,flower,239,FLOWER,137
138_grass,grass,606,GRASS,138
139_with,with,1340,WITH,139
140_in,in,1460,IN,140
141_at,at,1461,AT,141
142_if,if,1459,IF,142
143_mother,mother,1216,MOTHER,143
144_father,father,1217,FATHER,144
145_husband,husband,1200,HUSBAND,145
146_wife,wife,1199,WIFE,146
147_salt,salt,1274,SALT,147
148_ice,ice,617,ICE,148
149_snow,snow,784,SNOW,149
150_freeze,freeze,1431,FREEZE,150
151_child,child,2099,CHILD,151
152_dark,dark,706,DARK,152
153_cut,cut,1432,CUT,153
154_wide,wide,1243,WIDE,154
155_narrow,narrow,1267,NARROW,155
156_far,far,1406,FAR,156
157_near,near,1942,NEAR,157
158_thick,thick,1244,THICK,158
159_thin,thin,2308,THIN,159
160_short,short,1645,SHORT,160
161_heavy,heavy,1210,HEAVY,161
162_dull,dull,379,BLUNT,162
163_sharp,sharp,1396,SHARP,163
164_dirty,dirty,1230,DIRTY,164
165_rotten,rotten,1728,ROTTEN,165
166_bad,bad,1292,BAD,166
167_smooth,smooth,1234,SMOOTH,167
168_straight,straight,1404,STRAIGHT,168
169_correctright,correct (right),1725,CORRECT (RIGHT),169
170_left,left,244,LEFT,170
171_right,right,1019,RIGHT,171
172_old,old,1229,OLD,172
173_rub,rub,1449,RUB,173
174_pull,pull,1455,PULL,174
175_push,push,1452,PUSH,175
176_throw,throw,1456,THROW,176
177_hit,hit,1433,HIT,177
178_split,split,1437,SPLIT,178
179_stickstab,stick (stab),1295,STICK,179
180_dig,dig,1418,DIG,180
181_tie,tie,1917,TIE,181
182_sew,sew,1457,SEW,182
183_fall,fall,1280,FALL,183
184_swell,swell,1573,SWELL,184
185_think,think,2271,THINK,185
186_sing,sing,1261,SING,186
187_smell,smell,2124,SMELL,187
188_pukevomit,puke (vomit),1278,VOMIT,188
189_suck,suck,1421,SUCK,189
190_blow,blow,175,BLOW (OF WIND),190
191_fear,fear,1419,FEAR (BE AFRAID),191
192_squeeze,squeeze,1414,SQUEEZE,192
193_hold,hold,1448,HOLD,193
194_down,down,1326,DOWN,194
195_up,up,1591,UP,195
196_ripe,ripe,178,RIPE,196
197_dust,dust,2,DUST,197
198_alivelive,alive (live),1422,BE ALIVE,198
199_rope,rope,1218,ROPE,199
200_year,year,1226,YEAR,200
